scope,id,name,spirit,styles,price,deck_copies,deck_games,deck_inclusion_rate,average_copies_when_included,drawn,selected,pick_rate_when_drawn,selection_share,selected_side_win_rate,served,service_share,served_win_rate,flags
heuristic,d16,Smoked Manhattan,Whiskey,Premium|Bitter,22,42867,14289,0.14289,3,109335,65077,0.595207390131248,0.01938373097429482,0.5829248428784363,29020,0.025931552140112592,0.6132322536181943,
heuristic,d17,Straight Rye,Whiskey,Strong,18,42867,14289,0.14289,3,109225,60120,0.5504234378576334,0.0179072468948262,0.49233200266134397,17269,0.015431150031275131,0.4779083907580057,
heuristic,d18,Bourbon Flip,Whiskey,Creamy|Sweet,18,42867,14289,0.14289,3,108816,51116,0.46974709601529185,0.015225329878175915,0.49260505516863606,18282,0.01633634170315432,0.5631221966962039,
heuristic,d19,Midnight Mojito,Rum,Fresh|Sweet,14,42849,14283,0.14283,3,111815,49070,0.4388498859723651,0.014615911595627439,0.4764621968616263,10587,0.009460280582611027,0.3799943326721451,
heuristic,d20,Spiced Daiquiri,Rum,Sour|Spicy,14,42849,14283,0.14283,3,111672,48963,0.4384536857941113,0.014584040747028862,0.48459040499969364,11799,0.010543293718166384,0.4524959742351047,
heuristic,d21,Tropical Fizz,Rum,Fruity,12,42849,14283,0.14283,3,111709,30655,0.27441835483264554,0.009130849194293033,0.497895938672321,10296,0.009200250201054418,0.5763403263403264,underused
heuristic,d22,Blackstrap Old Fashioned,Rum,Bitter|Strong,18,42849,14283,0.14283,3,111815,71705,0.641282475517596,0.021357936437017843,0.5046091625409664,23927,0.021380573675274774,0.49554896142433236,
heuristic,d23,Coconut Cream Punch,Rum,Creamy|Sweet,16,42849,14283,0.14283,3,111698,49087,0.439461762968003,0.014620975188395436,0.5077922871636075,13918,0.012436779554999553,0.6521051875269436,
heuristic,d24,Admiral's Reserve,Rum,Premium|Savory,22,42849,14283,0.14283,3,111756,76824,0.6874261784602169,0.022882673576981503,0.5373841507862126,28291,0.025280135823429542,0.5484783146583719,
heuristic,d25,Garden Gimlet,Gin,Fresh|Sour,14,42849,14283,0.14283,3,111469,35202,0.31580080560514584,0.010485211330533465,0.4749730128969945,6866,0.006135287284424984,0.5313137197786193,underused
heuristic,d26,Bitter Bloom,Gin,Bitter|Fresh,16,42849,14283,0.14283,3,111530,54081,0.48490092351833586,0.016108480028594406,0.5046689225421127,12475,0.011147350549548745,0.5402805611222445,
heuristic,d27,Bramble Night,Gin,Fruity|Sweet,16,42849,14283,0.14283,3,111480,45790,0.4107463222102619,0.013638936049801924,0.5239571958943001,19159,0.017120007148601554,0.5959601231797067,
heuristic,d28,Savory Gibson,Gin,Savory,18,42849,14283,0.14283,3,111468,69515,0.6236318943553307,0.02070562654514044,0.46536718693807094,16546,0.014785095165758199,0.3486038921793787,
heuristic,d29,Pepper Negroni,Gin,Bitter|Spicy,18,42849,14283,0.14283,3,111487,69270,0.6213280472162673,0.020632651237601645,0.5277609354699004,23944,0.02139576445357877,0.5440193785499499,
heuristic,d30,Crystal Gin Fizz,Gin,Premium|Clean,20,300000,100000,1,3,783831,321497,0.410161118914664,0.09576058141959312,0.5297405574546574,140859,0.12586810830131356,0.5300832747641259,dominant-selection|high-inclusion
heuristic,d31,Sunset Paloma,Tequila,Fruity|Sour,14,42849,14283,0.14283,3,112054,35574,0.3174719331750763,0.010596014654633187,0.5238376342272446,10338,0.009237780359217228,0.542851615399497,underused
heuristic,d32,Desert Margarita,Tequila,Sour|Strong,16,42849,14283,0.14283,3,112063,58822,0.5249011716623685,0.01752062669406964,0.5061031586821257,17847,0.015947636493610938,0.5765114585084328,
heuristic,d33,Spiced Ranch Water,Tequila,Spicy|Clean,14,300000,100000,1,3,782992,209489,0.2675493491632098,0.062398057963244276,0.5071674407725465,81395,0.07273255294433026,0.5343080041771607,dominant-selection|high-inclusion
heuristic,d34,Agave Cream Flip,Tequila,Creamy|Sweet,16,42849,14283,0.14283,3,111876,45312,0.40501984339804786,0.013496559735501743,0.4993820621468927,12908,0.011534268608703423,0.577858692283855,
heuristic,d35,Bitter Cactus,Tequila,Bitter|Fresh,16,42849,14283,0.14283,3,112035,70298,0.627464631588343,0.02093884967086647,0.48894705397024096,19003,0.016980609418282548,0.4065147608272378,
heuristic,d36,Platinum Añejo,Tequila,Premium,22,42849,14283,0.14283,3,112215,77585,0.6913959809294657,0.023109343817948946,0.5547464071663337,25372,0.02267178983111429,0.4830521835093804,
heuristic,d37,Velvet Merlot,Wine,Fruity|Savory,16,171414,57138,0.57138,3,449065,168757,0.37579637691648204,0.05026568969112084,0.5474854376411052,62211,0.0555902064158699,0.5745929176512192,dominant-selection
heuristic,d38,City Spritz,Wine,Fresh|Clean,14,300000,100000,1,3,783411,281378,0.3591703460890899,0.08381080034551575,0.4830228376063516,101198,0.0904280225180949,0.4443170813652444,dominant-selection|high-inclusion
heuristic,d39,Golden Sangria,Wine,Cheap|Fruity,14,42846,14282,0.14282,3,111859,32193,0.2877998194155142,0.009588955410597802,0.5974590749541826,9383,0.008384416048610491,0.7297239688798891,underused
heuristic,d40,Cellar Select,Wine,Premium|Savory,20,42846,14282,0.14282,3,111838,73853,0.6603569448666822,0.021997736276174306,0.550282317576808,28836,0.02576713430435171,0.5716465529199611,
heuristic,d41,Cream Sherry Flip,Wine,Creamy|Strong,18,42846,14282,0.14282,3,111876,63878,0.5709714326575852,0.019026598754951895,0.5436300447728483,24987,0.022327763381288536,0.5211109777084084,
heuristic,d42,Spiced Mulled Wine,Wine,Spicy,16,42846,14282,0.14282,3,111729,62906,0.5630230289360865,0.01873708039198165,0.5025116841000858,12157,0.010863193637744616,0.44657399029365796,
